"","gene_id","log2_RE_FC","Z_score","gene_name","gene_biotype"
"1","ENSG00000118816",0.918548698931464,4.7318574666203,"CCNI","protein_coding"
"2","ENSG00000120314",1.81612020068898,4.44264958342984,"WDR55","protein_coding"
"3","ENSG00000135951",1.37159530560453,4.14386100780744,"TSGA10","protein_coding"
"4","ENSG00000063515",0.952483063557626,3.7466296409473,"GSC2","protein_coding"
"5","ENSG00000109861",2.80872813780942,3.71027108617833,"CTSC","protein_coding"
"6","ENSG00000114698",2.61656112852547,3.62166260988954,"PLSCR4","protein_coding"
"7","ENSG00000139656",2.28203370881319,3.58728974848636,"SMIM2","protein_coding"
"8","ENSG00000186150",1.81992257743599,3.2604038266169,"UBL4B","protein_coding"
"9","ENSG00000109684",4.26636138867313,3.117850628695,"CLNK","protein_coding"
"10","ENSG00000143315",1.88134730290878,3.11090614521288,"PIGM","protein_coding"
"11","ENSG00000161905",3.11662630880578,3.10708102704538,"ALOX15","protein_coding"
"12","ENSG00000149972",1.46940180877026,3.07744702326371,"CNTN5","protein_coding"
"13","ENSG00000170502",1.25404382024535,3.01236844677677,"NUDT9","protein_coding"
"14","ENSG00000185176",2.60133267083693,2.99655180095274,"AQP12B","protein_coding"
"15","ENSG00000204131",1.79912622735934,2.97833029482404,"NHSL2","protein_coding"
"16","ENSG00000141977",2.94182905947618,2.94854406724449,"CIB3","protein_coding"
"17","ENSG00000149809",1.58692597763169,2.85008347701416,"TM7SF2","protein_coding"
"18","ENSG00000099985",1.22883058670709,2.84465972433084,"OSM","protein_coding"
"19","ENSG00000132341",0.774055375257335,2.82174070920183,"RAN","protein_coding"
"20","ENSG00000112799",1.21115066270457,2.76878736562119,"LY86","protein_coding"
"21","ENSG00000139112",0.712907393067675,2.73248204820775,"GABARAPL1","protein_coding"
"22","ENSG00000120616",0.593346484082993,2.73002194436931,"EPC1","protein_coding"
"23","ENSG00000116001",3.51345711892129,2.71776722980978,"TIA1","protein_coding"
"24","ENSG00000124159",4.33693112972944,2.71433175548568,"MATN4","protein_coding"
"25","ENSG00000162004",4.97554833804238,2.6827343262876,"CCDC78","protein_coding"
"26","ENSG00000100033",4.58980759182727,2.64169810464683,"PRODH","protein_coding"
"27","ENSG00000134612",4.09244397587743,2.59357522236601,"FOLH1B","transcribed_unprocessed_pseudogene"
"28","ENSG00000127418",1.45351408244126,2.58320914543133,"FGFRL1","protein_coding"
"29","ENSG00000171222",0.404512329675012,2.54875188281918,"SCAND1","protein_coding"
"30","ENSG00000019186",4.25696191592071,2.51208370403979,"CYP24A1","protein_coding"
"31","ENSG00000166558",0.973662656008804,2.49656008968125,"SLC38A8","protein_coding"
"32","ENSG00000109805",1.61185925997822,2.49386664019561,"NCAPG","protein_coding"
"33","ENSG00000080573",2.08575121730067,2.46018679853763,"COL5A3","protein_coding"
"34","ENSG00000083807",0.307534926322796,2.4527054981118,"SLC27A5","protein_coding"
"35","ENSG00000102007",0.851289510447294,2.40733172934762,"PLP2","protein_coding"
"36","ENSG00000163440",1.44417436341429,2.3664194990127,"PDCL2","protein_coding"
"37","ENSG00000136048",3.2026432070412,2.36576644339003,"DRAM1","protein_coding"
"38","ENSG00000169919",1.15463290294098,2.35396919811439,"GUSB","protein_coding"
"39","ENSG00000168917",0.909358305891413,2.34344614879845,"SLC35G2","protein_coding"
"40","ENSG00000109625",3.03200175464621,2.31156147385101,"CPZ","protein_coding"
"41","ENSG00000021852",0.580279080454012,2.28193941241064,"C8B","protein_coding"
"42","ENSG00000137409",0.771824175534269,2.27595038690304,"MTCH1","protein_coding"
"43","ENSG00000034971",1.20934840553036,2.26991393762269,"MYOC","protein_coding"
"44","ENSG00000163016",2.85121773800282,2.25974708098404,"ALMS1P1","transcribed_unprocessed_pseudogene"
"45","ENSG00000108963",2.60021355705837,2.25144711251143,"DPH1","protein_coding"
"46","ENSG00000115758",0.378446591965752,2.22761998086084,"ODC1","protein_coding"
"47","ENSG00000100079",1.61438025082719,2.22656976249093,"LGALS2","protein_coding"
"48","ENSG00000135519",2.93641623570876,2.20105569865485,"KCNH3","protein_coding"
"49","ENSG00000119919",1.55171631526997,2.17038796124713,"NKX2-3","protein_coding"
"50","ENSG00000138039",3.39660998989521,2.16977155518203,"LHCGR","protein_coding"
"51","ENSG00000183723",0.81246785621983,2.16156105276254,"CMTM4","protein_coding"
"52","ENSG00000109756",1.68611426303377,2.13378831667407,"RAPGEF2","protein_coding"
"53","ENSG00000078596",0.569174397050324,2.11902120624155,"ITM2A","protein_coding"
"54","ENSG00000124813",5.19871544412619,2.10164949557112,"RUNX2","protein_coding"
"55","ENSG00000107738",3.8941409211085,2.09962034167755,"VSIR","protein_coding"
"56","ENSG00000100012",0.96583979744557,2.09269935898621,"SEC14L3","protein_coding"
"57","ENSG00000128713",0.947635140530202,2.07991856306669,"HOXD11","protein_coding"
"58","ENSG00000178997",1.9438114327807,2.07252599570508,"EXD1","protein_coding"
"59","ENSG00000161992",2.43833828467743,2.07063076806918,"PRR35","protein_coding"
"60","ENSG00000087128",1.55126096066818,2.06725676106138,"TMPRSS11E","protein_coding"
"61","ENSG00000165480",1.65383699816887,2.04394841821474,"SKA3","protein_coding"
"62","ENSG00000170365",0.836119742539318,2.04124412075159,"SMAD1","protein_coding"
"63","ENSG00000076053",-0.958830231366237,2.04070870066866,"RBM7","protein_coding"
"64","ENSG00000128524",0.53873982192663,2.03791194071747,"ATP6V1F","protein_coding"
"65","ENSG00000132507",0.995355853670996,2.02961838185421,"EIF5A","protein_coding"
"66","ENSG00000174016",1.33721653113947,2.00460696484567,"TENT5D","protein_coding"
