,4_7_IP_S4_L004_R.sf,4_9_IP_S5_L004_R.sf,87_IP_S1_L004_R.sf,90_IP_S2_L004_R.sf,91_IP_S3_L004_R.sf,95_3_IP_S6_L004_R.sf
5_8S_rRNA,NA,NA,NA,NA,NA,NA
5S_rRNA,NA,NA,NA,NA,NA,NA
7SK,NA,NA,NA,NA,NA,NA
A1BG,4.35856288862239,3.43344096723926,2.8737386798201,3.09873623574788,3.72647908443992,2.99290681406053
A1BG-AS1,0.929486262145348,0.889160878275448,0.688315561147432,0.899131084507493,0.775324393364367,1.06885902228172
A1CF,NA,NA,NA,NA,NA,NA
A2M,NA,0.517606007442385,0.480002137076523,NA,NA,NA
A2M-AS1,1.54305123814812,1.35481023386793,1.24914674063157,1.84599816736905,1.76671832522192,1.77847062119851
A2ML1,NA,NA,NA,NA,NA,NA
A2ML1-AS1,NA,NA,NA,NA,NA,NA
A2ML1-AS2,NA,NA,NA,NA,NA,NA
A2MP1,NA,NA,NA,NA,NA,NA
A3GALT2,NA,NA,NA,NA,NA,NA
A4GALT,2.44919186459913,2.45881481020729,2.76530877847594,2.0234524985656,1.7522597013527,1.92331029179214
A4GNT,Inf,NA,NA,Inf,NA,NA
AA06,NA,NA,NA,NA,NA,NA
AAAS,0.908759488070841,1.08253314263387,0.99201510022291,0.719650327062518,0.695305896074426,0.958255312006545
AACS,1.10996129439665,1.16184088100937,0.698282833265886,0.834036149614743,1.01737546556225,0.975704496574284
AACSP1,NA,Inf,NA,NA,NA,Inf
AADAC,NA,NA,NA,NA,NA,NA
AADACL2,NA,NA,NA,NA,NA,NA
AADACL2-AS1,NA,NA,NA,NA,NA,NA
AADACL3,NA,NA,NA,NA,NA,NA
AADACL4,NA,NA,NA,NA,NA,NA
AADACP1,NA,NA,NA,NA,NA,NA
AADAT,1.13881351872004,0.853474429835193,0.945444894334172,1.00707736423876,0.955709508470562,0.906567305783689
AAGAB,2.04188650842034,2.08319609012543,1.73370254965806,2.41062848171378,2.63493629598611,1.90000378678787
AAK1,0.485921701267409,NA,0.702817602306396,0.598202837682788,0.477805084788456,NA
AAMDC,1.30677351908691,1.28936629171504,1.89319921657924,1.71741434629679,1.22204044056644,1.06430823099565
AAMP,1.37771954078989,1.0856842571933,1.39990702025544,1.47820259450153,1.91906133904209,1.16955678407716
AANAT,2.82933458604343,0.702542403715436,1.15049740293469,0.653247108533252,1.17401123136207,NA
AAR2,1.3523390849678,1.66702198592075,1.29627215627065,1.16607952662457,1.3064389095017,1.53535185304746
AARD,1.62339955947357,2.36030429444295,5.28486165051564,3.68579727023949,2.55232020202425,1.88361511814685
AARS1,0.54491264567211,0.528075897664011,0.607467551058529,0.480820534616413,0.47110264826789,0.42326299652864
AARS1P1,NA,NA,NA,NA,NA,NA
AARS2,0.488707588814271,0.478911237750284,NA,0.45538207144618,0.435251650504806,0.465106821982598
AARSD1,0.589560064870956,0.72845211561488,0.656889602989122,0.492499185483667,0.75064333072789,0.668576728402234
AARSD1P1,2.34395522312554,6.59845450614589,3.35043773870214,1.10737530134519,2.25908939912756,3.49628792295263
AASDH,0.689804597870226,0.909631532118591,0.670482705092084,0.686241132439627,1.01805752557743,0.789552151856235
AASDHPPT,1.11491438219858,1.11410542874118,1.31424664036379,1.25933920121733,1.55570537208017,1.05218325898578
AASS,NA,NA,NA,NA,NA,NA
AATBC,NA,NA,NA,NA,Inf,NA
AATF,1.40117194638997,1.35315860562422,1.64227990973486,1.56868430585184,1.31712311317154,1.48837724386277
AATK,0.97401343694016,1.10066839122069,0.740364544272735,0.723738960942425,1.18795901319498,0.933190459086581
ABALON,Inf,NA,NA,NA,NA,NA
ABAT,1.59742926533536,1.48797599180775,1.42907702775342,1.34768658860578,1.23406092973126,1.5591489486305
ABCA1,NA,0.359865670294324,NA,0.405417286064925,0.495739129372209,NA
ABCA10,0.412465266058549,NA,1.30943999695997,NA,0.641301935658451,NA
ABCA11P,1.19671354858038,1.30658758412566,1.02272832471215,1.44998335244373,1.47989746531084,1.07466828231202
