"","gene_id","log2_RE_FC","Z_score","gene_name","gene_biotype"
"1","ENSG00000282816",2.28515427594268,7.30954286994834,NA,"lncRNA"
"2","ENSG00000269425",2.92405548715203,7.11027005418065,NA,"lncRNA"
"3","LINC03059",2.2279696440731,6.88336818496059,NA,NA
"4","CD38",2.01861153350663,6.68193121294441,NA,NA
"5","PCDHB1-AS1",1.68361197933137,6.53158036049127,NA,NA
"6","HLA-K",1.88235919393552,6.25242463983227,NA,NA
"7","URB1-AS1",1.21827646525665,5.6265622436838,NA,NA
"8","LSR",3.22482634995202,5.32684437324791,NA,NA
"9","ART5",3.03856867444921,4.92934143830841,NA,NA
"10","ENSG00000293025",1.35448596395429,4.92068036952132,NA,"lncRNA"
"11","LINC02036",2.21857571718757,4.89635566753935,NA,NA
"12","HES2",0.626837835174313,4.87788775230689,NA,NA
"13","ENSG00000236858",1.88108196034534,4.86128537857414,NA,"lncRNA"
"14","ENSG00000267665",2.67878161897779,4.77025095766968,NA,"lncRNA"
"15","ILRUN-AS1",0.886724439522216,4.64060183277365,NA,NA
"16","ENSG00000293331",1.82061867616314,4.47785375976663,NA,"lncRNA"
"17","RSPH1",1.68381844429373,4.40998310871763,NA,NA
"18","ENSG00000278934",2.57441767076594,4.3610980059294,NA,"TEC"
"19","ENSG00000291042",2.36666585173704,4.30819088666851,NA,"lncRNA"
"20","APELA",0.981964219616699,4.29229532122476,NA,NA
"21","LINC02453",1.53602041725469,4.28608094779017,NA,NA
"22","PTMAP8",1.44227455597048,4.26001245677806,NA,NA
"23","STAB1",1.57755889328409,4.2185438728105,NA,NA
"24","GNG8",1.58153062164816,4.21348115881016,NA,NA
"25","ENSG00000159239",1.97315729988034,4.13846679865878,NA,"protein_coding"
"26","PRDM16-DT",2.84579855100409,3.99196837990587,NA,NA
"27","ENSG00000287267",1.52106683143154,3.92373237730577,NA,"lncRNA"
"28","CLN8-AS1",1.29495115694869,3.91069859193047,NA,NA
"29","ATP6AP1-DT",0.237645982515076,3.90443759820003,NA,NA
"30","ASB4",1.36874085068337,3.90365590243141,NA,NA
"31","MAP2K4P1",1.64962488123153,3.89245216604816,NA,NA
"32","PDK1-AS1",1.4682866650163,3.88928365589236,NA,NA
"33","ENSG00000273384",1.16239128826167,3.8539661551696,NA,"lncRNA"
"34","ENSG00000287134",1.37642672280772,3.83645879459883,NA,"lncRNA"
"35","LINC01980",0.433050936637928,3.76570209727318,NA,NA
"36","ENPP7P2",1.88739803092945,3.7225153023101,NA,NA
"37","MAP1LC3C",1.60856817240138,3.68096969290064,NA,NA
"38","LSM12P1",0.318699353075303,3.66095380347261,NA,NA
"39","NR5A1",1.27685725320846,3.63666360994104,NA,NA
"40","LINC00540",1.39840387721578,3.62134359479502,NA,NA
"41","ENSG00000260136",1.29848074926398,3.60089669558723,NA,"lncRNA"
"42","FES",2.60726816277557,3.59966485411573,NA,NA
"43","MALL",0.389203993985407,3.58761454253691,NA,NA
"44","RPS3AP21",0.797171863369496,3.49254119368742,NA,NA
"45","DKKL1",1.30962956766656,3.45865147458144,NA,NA
"46","NAPA-AS1",1.04618697335578,3.44119494123562,NA,NA
"47","ZNF32-AS2",1.00117408027693,3.42701445729142,NA,NA
"48","ENSG00000293245",2.51321178919796,3.41047068529634,NA,"lncRNA"
"49","ENSG00000258430",2.07249305501241,3.4006050509475,NA,"lncRNA"
"50","ENSG00000236154",-0.325170619065025,3.38375150434442,NA,"lncRNA"
"51","ENSG00000273711",1.78995223567373,3.36382900476852,NA,"lncRNA"
"52","SLC44A3-AS1",0.633824296849709,3.35885705111166,NA,NA
"53","PRSS36",0.939129406263418,3.35778648484417,NA,NA
"54","ENSG00000259523",1.180559889913,3.35495488935594,NA,"lncRNA"
"55","ENSG00000286622",0.81258656498463,3.3489456512316,NA,"lncRNA"
"56","EMSLR",0.80139361178411,3.33403768793235,NA,NA
"57","ENSG00000266076",1.47747588476858,3.32924068499121,NA,"protein_coding"
"58","PSTPIP1",0.831234605550247,3.32844081307248,NA,NA
"59","DDX59-AS1",1.76812394299646,3.3234435169715,NA,NA
"60","TTC12-DT",0.856476430499621,3.31368281567233,NA,NA
"61","SDHAP2",2.45401727982662,3.29143694870351,NA,NA
"62","ENSG00000259316",1.02228588731088,3.28318644772868,NA,"protein_coding"
"63","ENSG00000260426",2.24234049984653,3.28080886967809,NA,"lncRNA"
"64","RPSAP54",1.14541048864041,3.26655202607557,NA,NA
"65","MFSD2B",0.500682710369625,3.26542599711385,NA,NA
"66","TICAM2-AS1",0.845395137621732,3.24235633479011,NA,NA
"67","AARSD1P1",0.888967461833971,3.23971211286803,NA,NA
"68","NPY2R",2.37584992267423,3.21795317752852,NA,NA
"69","ENSG00000269968",0.703049471517745,3.21212237232777,NA,"lncRNA"
"70","EPHX4",1.22294495722197,3.2036366041365,NA,NA
"71","CHD9NB",1.57028164047442,3.20169140106946,NA,NA
"72","MTLN",-0.48599918049526,3.19252961551066,NA,NA
"73","LINC01376",2.01338032194058,3.19213235812829,NA,NA
"74","ENSG00000290739",0.566926676144685,3.18635311312683,NA,"lncRNA"
"75","GRK1",1.60535765814232,3.17730956063755,NA,NA
"76","AGAP2-AS1",1.25336562539137,3.17547674062769,NA,NA
"77","CRIP1",1.3714727625239,3.16983213420093,NA,NA
"78","TEKT1",0.510915028900675,3.16388940513272,NA,NA
"79","SIX3-AS1",1.35136934777417,3.15921085002882,NA,NA
"80","MARCHF10",0.704459494840872,3.15815550293364,NA,NA
"81","ENSG00000276251",1.50886788061963,3.14989210437531,NA,"lncRNA"
"82","PDXP-DT",2.14509909384168,3.12722016801403,NA,NA
"83","ENSG00000270659",1.49785660382281,3.12264621727478,NA,"lncRNA"
"84","OR4D10",1.14758607876136,3.11760170072772,NA,NA
"85","H4C1",1.51027011916075,3.10429278007801,NA,NA
"86","ENSG00000285602",1.56892393002393,3.10105821444688,NA,"protein_coding"
"87","ENSG00000290705",1.55106382246693,3.09590832558022,NA,"lncRNA"
"88","ENSG00000270000",2.16336215812606,3.09214061018002,NA,"lncRNA"
