"","gene_id","log2_RE_FC","Z_score","gene_name","gene_biotype"
"1","ENSG00000288754",3.56609104450281,17.9883066163561,NA,"lncRNA"
"2","ENSG00000134717",1.98869612894633,8.92350297486706,"BTF3L4","protein_coding"
"3","ENSG00000134575",2.4320239750826,6.06426585412175,"ACP2","protein_coding"
"4","ENSG00000013016",1.28339935560088,5.33445091832893,"EHD3","protein_coding"
"5","ENSG00000151617",1.97964700735932,4.6534697155249,"EDNRA","protein_coding"
"6","ENSG00000171928",1.04790233446274,4.37051530218052,"TVP23B","protein_coding"
"7","ENSG00000131437",1.57285282095588,4.34849841512433,"KIF3A","protein_coding"
"8","ENSG00000134419",1.15164419679228,4.26563910319831,"RPS15A","protein_coding"
"9","ENSG00000111540",1.19465782927798,4.20826339142236,"RAB5B","protein_coding"
"10","ENSG00000135452",1.97972554349709,4.05629613605614,"TSPAN31","protein_coding"
"11","ENSG00000176896",1.51477180752367,3.98762989000081,"TCEANC","protein_coding"
"12","ENSG00000159784",0.738559745726305,3.97225157656448,"FAM131B","protein_coding"
"13","ENSG00000122035",1.23609425938401,3.69376154977587,"RASL11A","protein_coding"
"14","ENSG00000180015",1.58183963969344,3.62527417482682,NA,"processed_pseudogene"
"15","ENSG00000077721",0.753142053044636,3.54573195483361,"UBE2A","protein_coding"
"16","ENSG00000143248",0.930634948675688,3.439756271347,"RGS5","protein_coding"
"17","ENSG00000137075",0.975982530064794,3.32483630982164,"RNF38","protein_coding"
"18","ENSG00000128590",0.599281155147622,3.2833864441769,"DNAJB9","protein_coding"
"19","ENSG00000179008",1.02257638080478,3.15956541023682,"C14orf39","protein_coding"
"20","ENSG00000005073",1.07400931572777,3.15540124268926,"HOXA11","protein_coding"
"21","ENSG00000099984",3.05359510390041,3.04830297444901,"GSTT2","protein_coding"
"22","ENSG00000112559",1.04278567160605,2.91792713381833,"MDFI","protein_coding"
"23","ENSG00000143167",1.97922058719187,2.89426423280492,"GPA33","protein_coding"
"24","ENSG00000120217",0.930883436460516,2.81039519578077,"CD274","protein_coding"
"25","ENSG00000106034",1.44164618819529,2.7487804389453,"CPED1","protein_coding"
"26","ENSG00000106304",1.98175891997293,2.7401802693492,"SPAM1","protein_coding"
"27","ENSG00000135517",1.41274635857306,2.73808910046778,"MIP","protein_coding"
"28","ENSG00000198883",1.39735214124649,2.71466088403286,"PNMA5","protein_coding"
"29","ENSG00000129473",0.563275070995536,2.71282712028249,"BCL2L2","protein_coding"
"30","ENSG00000075945",0.531286997698481,2.70214890714007,"KIFAP3","protein_coding"
"31","ENSG00000106327",3.63391242902981,2.69871947387015,"TFR2","protein_coding"
"32","ENSG00000126803",1.95766944876826,2.65124174855159,"HSPA2","protein_coding"
"33","ENSG00000149656",2.46405242662957,2.63779779752947,NA,"transcribed_unprocessed_pseudogene"
"34","ENSG00000106331",2.91819041677817,2.58984517366831,"PAX4","protein_coding"
"35","ENSG00000181609",2.13707652700489,2.58138584620101,"OR52D1","protein_coding"
"36","ENSG00000167552",0.580571082420258,2.57825809008569,"TUBA1A","protein_coding"
"37","ENSG00000096395",1.36152378979793,2.57316463718358,"MLN","protein_coding"
"38","ENSG00000101003",1.52506786636732,2.55351112810275,"GINS1","protein_coding"
"39","ENSG00000120160",1.40008387087081,2.48414602376471,"EQTN","protein_coding"
"40","ENSG00000137168",1.21441109367655,2.39233872158522,"PPIL1","protein_coding"
"41","ENSG00000138741",1.00382175590107,2.3916600170459,"TRPC3","protein_coding"
"42","ENSG00000015520",5.63963324281849,2.38714091302193,"NPC1L1","protein_coding"
"43","ENSG00000149150",2.58813886903017,2.36402932167747,"SLC43A1","protein_coding"
"44","ENSG00000091513",0.956065876219445,2.36219645029579,"TF","protein_coding"
"45","ENSG00000105370",2.41786781145105,2.2961685315275,"LIM2","protein_coding"
"46","ENSG00000117632",0.510928531351401,2.27480808142707,"STMN1","protein_coding"
"47","ENSG00000131914",0.703374893840819,2.27384890591843,"LIN28A","protein_coding"
"48","ENSG00000136986",0.532926794021926,2.24656774074069,"DERL1","protein_coding"
"49","ENSG00000138459",0.617442810312884,2.22249503886511,"SLC35A5","protein_coding"
"50","ENSG00000163866",0.584272761941378,2.20453970591706,"SMIM12","protein_coding"
"51","ENSG00000134873",1.26472173668856,2.19580865075712,"CLDN10","protein_coding"
"52","ENSG00000106336",0.854580048197369,2.18754143656208,"FBXO24","protein_coding"
"53","ENSG00000034971",1.10116172042469,2.18433208513642,"MYOC","protein_coding"
"54","ENSG00000106328",1.17720067170567,2.17339142648408,"FSCN3","protein_coding"
"55","ENSG00000036565",2.93921639745189,2.16550439635156,"SLC18A1","protein_coding"
"56","ENSG00000096093",2.07860269000816,2.16483815249475,"EFHC1","protein_coding"
"57","ENSG00000105617",2.50990602329481,2.15503382470122,"LENG1","protein_coding"
"58","ENSG00000130313",0.673326854345579,2.14672641170505,"PGLS","protein_coding"
"59","ENSG00000134531",1.56922060562813,2.14339595735188,"EMP1","protein_coding"
"60","ENSG00000146233",1.28498575917813,2.13196690115472,"CYP39A1","protein_coding"
"61","ENSG00000170092",2.47987627130738,2.12874112924645,"SPDYE5","protein_coding"
"62","ENSG00000128563",0.601505862863617,2.12658701289436,"PRKRIP1","protein_coding"
"63","ENSG00000145741",0.37206787532812,2.11538806974951,"BTF3","protein_coding"
"64","ENSG00000075856",0.867015894616717,2.11506578905326,"SART3","protein_coding"
"65","ENSG00000100060",1.02769261830141,2.10957315313671,"MFNG","protein_coding"
"66","ENSG00000012232",1.37842993310585,2.10033321300198,"EXTL3","protein_coding"
"67","ENSG00000131127",0.584347251607374,2.08809102134061,"ZNF141","protein_coding"
"68","ENSG00000075651",0.674658520604423,2.07551002642692,"PLD1","protein_coding"
"69","ENSG00000116218",1.67382986346226,2.06403447855078,"NPHS2","protein_coding"
"70","ENSG00000106803",0.719942094960017,2.06040845674689,"SEC61B","protein_coding"
"71","ENSG00000047579",0.202411820442351,2.06024223974604,"DTNBP1","protein_coding"
"72","ENSG00000188511",2.01817601485783,2.00469625226068,"MIR3667HG","lncRNA"
"73","ENSG00000112031",0.288550763447511,-2.00187119268661,"MTRF1L","protein_coding"
"74","ENSG00000164972",-0.841452493891425,-2.00283436621542,"SPMIP6","protein_coding"
"75","ENSG00000179899",0.332502590598848,-2.00357007621608,"PHC1P1","processed_pseudogene"
"76","ENSG00000153029",-0.500773163037496,-2.00397959943699,"MR1","protein_coding"
"77","ENSG00000074317",-0.512971974606105,-2.00466893690466,"SNCB","protein_coding"
"78","ENSG00000108622",0.480879707246388,-2.00535149618512,"ICAM2","protein_coding"
"79","ENSG00000152380",-0.275393111457137,-2.00566898351933,"FAM151B","protein_coding"
"80","ENSG00000127152",0.266099885669414,-2.00687726278982,"BCL11B","protein_coding"
"81","ENSG00000100439",-0.356413265089394,-2.00811592697065,"ABHD4","protein_coding"
"82","ENSG00000107242",-0.650880371129368,-2.00914806169896,"PIP5K1B","protein_coding"
"83","ENSG00000108591",0.620038646458613,-2.00934478313863,"DRG2","protein_coding"
"84","ENSG00000129235",0.209132205451867,-2.01172766325185,"TXNDC17","protein_coding"
"85","ENSG00000165660",-0.260844805107914,-2.01325354609546,"ABRAXAS2","protein_coding"
"86","ENSG00000079950",-0.232334828253444,-2.01480382035407,"STX7","protein_coding"
"87","ENSG00000107551",0.474684137005991,-2.01882334754181,"RASSF4","protein_coding"
"88","ENSG00000052749",0.273755331552714,-2.01921697918508,"RRP12","protein_coding"
"89","ENSG00000086544",-0.254702748339446,-2.01964672588518,"ITPKC","protein_coding"
"90","ENSG00000114650",0.545908305032785,-2.02085109457825,"SCAP","protein_coding"
"91","ENSG00000066827",-0.687002918828536,-2.02305333932589,"ZFAT","protein_coding"
"92","ENSG00000180626",-0.383573622598778,-2.02687697075753,"ZNF594","protein_coding"
"93","ENSG00000198874",0.52453325429633,-2.0276256899491,"TYW1","protein_coding"
"94","ENSG00000131711",0.264003418746468,-2.03016466437662,"MAP1B","protein_coding"
"95","ENSG00000156802",0.480849462218023,-2.0316243313178,"ATAD2","protein_coding"
"96","ENSG00000165816",-0.415271978391743,-2.03167238364181,"VWA2","protein_coding"
"97","ENSG00000196832",-0.742423883055828,-2.03312878794056,"OR11G2","protein_coding"
"98","ENSG00000160688",0.35487510427874,-2.03650513756826,"FLAD1","protein_coding"
"99","ENSG00000100263",0.600364972621028,-2.03748244052169,"RHBDD3","protein_coding"
"100","ENSG00000133138",-0.447911927482471,-2.03788548869899,"TBC1D8B","protein_coding"
"101","ENSG00000100228",0.385958643336773,-2.0388658865716,"RAB36","protein_coding"
"102","ENSG00000160957",0.577367605434968,-2.03897683562388,"RECQL4","protein_coding"
"103","ENSG00000161958",-0.20106609283814,-2.04129714026095,"FGF11","protein_coding"
"104","ENSG00000079462",-0.322606538679542,-2.04385165817749,"PAFAH1B3","protein_coding"
"105","ENSG00000148814",0.218479900233378,-2.04484823735711,"LRRC27","protein_coding"
"106","ENSG00000132570",-0.313442934591729,-2.04661611594192,"PCBD2","protein_coding"
