,gene_id,log2_RE_FC,Z_score,gene_name,gene_biotype
251,ENSG00000224093,5.657873071,2.835866209,BCAR3-AS1,lncRNA
127,ENSG00000254468,5.244412525,3.606028176,NA,lncRNA
267,ENSG00000289886,5.058058486,2.747312219,NA,lncRNA
101,ENSG00000163645,4.523494463,3.894179378,ERICH6,protein_coding
78,ENSG00000107738,4.407521426,4.15639587,VSIR,protein_coding
21,ENSG00000176532,4.221017337,6.30156561,PRR15,protein_coding
5,ENSG00000157554,4.078649243,9.820055237,ERG,protein_coding
7,ENSG00000125618,3.997751679,9.390785116,PAX8,protein_coding
430,ENSG00000239775,3.9243815,2.155404288,NA,lncRNA
479,ENSG00000214511,3.7902248,2.031201541,HIGD1C,protein_coding
49,ENSG00000143867,3.728793036,5.24741634,OSR1,protein_coding
323,ENSG00000272202,3.704441579,2.539219019,NA,lncRNA
248,ENSG00000100249,3.692854073,2.839532085,C22orf31,protein_coding
200,ENSG00000036565,3.681617303,3.085724182,SLC18A1,protein_coding
9,ENSG00000276707,3.660429659,8.553642136,NA,lncRNA
169,ENSG00000185013,3.611413705,3.286249355,NT5C1B,protein_coding
11,ENSG00000254033,3.264804981,8.531109281,NA,lncRNA
40,ENSG00000237605,3.249971581,5.549177744,DYRK3-AS1,lncRNA
34,ENSG00000078098,3.176480904,5.766497761,FAP,protein_coding
6,ENSG00000282740,3.167712009,9.495648162,NA,lncRNA
256,ENSG00000198515,3.101296746,2.790579349,CNGA1,protein_coding
459,ENSG00000254760,3.097209835,2.084628155,SIGLEC10-AS2,lncRNA
255,ENSG00000275297,3.007064597,2.795437993,NA,lncRNA
443,ENSG00000264419,2.952352302,2.133956828,MIR548AC,miRNA
239,ENSG00000239930,2.88680609,2.885239977,RSPH1-DT,lncRNA
215,ENSG00000047617,2.840288241,3.021342405,ANO2,protein_coding
440,ENSG00000215131,2.808332613,2.138424614,C16orf90,protein_coding
399,ENSG00000269646,2.75126729,2.265889603,ZNF888-AS1,lncRNA
271,ENSG00000234785,2.739164126,2.729404756,EEF1GP5,processed_pseudogene
2,ENSG00000233837,2.713591895,23.06063135,EIF3LP2,processed_pseudogene
469,ENSG00000228705,2.700194191,2.059351229,LINC00659,lncRNA
20,ENSG00000256150,2.686547797,6.320718007,ITFG2-AS1,lncRNA
150,ENSG00000256560,2.631832728,3.438789462,LINC01486,lncRNA
172,ENSG00000259072,2.582194007,3.282626091,NA,lncRNA
128,ENSG00000187773,2.56326809,3.599582663,DIPK1C,protein_coding
55,ENSG00000185149,2.539976714,5.03856862,NPY2R,protein_coding
22,ENSG00000262583,2.520301324,6.291209666,TMEM231P1,transcribed_unprocessed_pseudogene
102,ENSG00000270000,2.519112045,3.881255339,NA,lncRNA
243,ENSG00000284516,2.516547711,2.868319595,VAMP9P,transcribed_unitary_pseudogene
121,ENSG00000272081,2.498291467,3.660473691,FCHO2-DT,lncRNA
184,ENSG00000289257,2.46485047,3.192444173,NA,lncRNA
137,ENSG00000233721,2.448777897,3.549047587,NA,lncRNA
186,ENSG00000257711,2.439117934,3.184330209,NA,lncRNA
92,ENSG00000251621,2.424697708,4.003164938,NA,lncRNA
250,ENSG00000200674,2.39950017,2.836354033,RN7SKP160,misc_RNA
319,ENSG00000197149,2.395542332,2.555087505,NA,processed_pseudogene
219,ENSG00000224240,2.364383905,3.003314754,CYCSP49,processed_pseudogene
156,ENSG00000293263,2.359841105,3.350633902,NA,lncRNA
303,ENSG00000239677,2.354471377,2.606763227,PDZRN3-AS1,lncRNA
293,ENSG00000228661,2.343394386,2.638274395,STIM1-AS1,lncRNA
218,ENSG00000260651,2.337996054,3.004737066,NA,lncRNA
205,ENSG00000273160,2.337498115,3.061115892,NA,lncRNA
115,ENSG00000237512,2.321215857,3.722160011,UNC5B-AS1,lncRNA
233,ENSG00000145002,2.308332677,2.9237973,FAM86B2,protein_coding
